Montrose,"1,335,236","1,449,318 1,478,875","1,467,479",20,,8.5 2.0 -0.8 30
Morgan,"1,417,097","1,522,602 1,479,665","1,444,845",21,,7.4 -2.8 -2.4 36
Otero,"488,792","520,822 554,988","561,878",34,,6.6 6.6 1.2 21
Ouray,"200,813","209,924 221,293","221,206",48,,4.5 5.4 0.0 26
Park,"376,251","382,312 409,944","410,660",42,,1.6 7.2 0.2 24
Phillips,"165,253","180,410 180,001","190,461",52,,9.2 -0.2 5.8 11
Pitkin,"1,993,986","2,019,058 2,040,693","1,846,417",17,,1.3 1.1 -9.5 59
Prowers,"489,204","512,958 502,188","469,347",40,,4.9 -2.1 -6.5 54
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Pueblo,"5,447,171","5,626,244 5,790,286","5,552,533",12,,3.3 2.9 -4.1 47
Rio Blanco,"819,300","756,446 807,105","776,121",29,,-7.7 6.7 -3.8 45
Rio Grande,"383,193","419,472 435,773","443,550",41,,9.5 3.9 1.8 18
Routt,"1,726,010","1,721,099 1,803,011","1,728,212",18,,-0.3 4.8 -4.1 48
Saguache,"163,489","186,030 210,208","213,097",50,13.8,13.0 1.4 20
San Juan,"55,161","32,409 33,225","50,883",62,-41.2,2.5 53.1 1
San Miguel,"571,685","572,545 588,502","553,806",35,,0.2 2.8 -5.9 51
Sedgwick,"66,555","73,907 79,740","84,330",61,11.0,7.9 5.8 12
Summit,"2,312,817","2,300,478 2,401,743","2,272,803",16,,-0.5 4.4 -5.4 50
Teller,"907,518","880,384 918,493","893,142",26,,-3.0 4.3 -2.8 38
Washington,"162,603","167,576 183,858","224,582",47,,3.1 9.7 22.1 3
Weld,"21,209,709","22,881,521 23,686,854","20,961,477",7,,7.9 3.5 -11.5 61
Yuma,"519,128","508,649 563,662","547,401",36,,-2.0 10.8 -2.9 39
Connecticut,"247,358,533","249,998,102 251,495,134","235,888,558",--,,1.1 0.6 -6.2 --
Fairfield,"80,739,072","82,176,512 81,895,069","77,114,999",1,,1.8 -0.3 -5.8 5
Hartford,"78,655,957","78,719,146 79,002,484","73,199,344",2,,0.1 0.4 -7.3 6
Litchfield,"7,513,422","7,385,901 7,612,070","7,185,935",6,,-1.7 3.1 -5.6 4
Middlesex,"8,701,521","8,740,036 8,854,701","8,113,106",5,,0.4 1.3 -8.4 7
New Haven,"45,503,436","46,357,219 47,182,725","45,522,066",3,,1.9 1.8 -3.5 2
New London,"17,117,781","17,444,299 17,508,777","15,556,716",4,,1.9 0.4 -11.1 8
Tolland,"4,891,203","4,841,261 4,961,783","4,875,457",7,,-1.0 2.5 -1.7 1
Windham,"4,316,528","4,393,990 4,550,511","4,363,941",8,,1.8 3.6 -4.1 3
Delaware,"60,801,235","61,735,133 64,262,426","62,056,233",--,,1.5 4.1 -3.4 --
Kent,"6,811,917","7,128,085 7,681,601","7,646,121",3,,4.6 7.8 -0.5 1
New Castle,"43,014,901","43,292,638 44,503,725","42,841,997",1,,0.6 2.8 -3.7 2
Sussex,"11,003,146","11,359,701 12,151,829","11,648,893",2,,3.2 7.0 -4.1 3
District of Columbia,"120,898,866","123,836,129 124,990,299","122,342,074",--,,2.4 0.9 -2.1 --
Florida,"912,966,152","943,463,397 971,619,168","944,000,797",--,,3.3 3.0 -2.8 --
Alachua,"11,882,789","12,295,786 12,675,917","12,653,895",18,,3.5 3.1 -0.2 30
Baker,"608,781","595,462 598,797","634,614",51,,-2.2 0.6 6.0 5
Bay,"7,549,896","7,649,376 7,770,640","7,692,145",26,,1.3 1.6 -1.0 40
Bradford,"634,593","647,437 608,191","595,628",53,,2.0 -6.1 -2.1 53
Brevard,"22,594,688","23,605,957 24,488,126","24,277,041",10,,4.5 3.7 -0.9 37
Broward,"93,781,998","96,571,820 99,667,401","95,048,259",2,,3.0 3.2 -4.6 64
Calhoun,"267,079","224,485 228,221","230,116",65,-15.9,1.7 0.8 20
Charlotte,"4,758,246","4,934,235 5,132,804","5,123,076",29,,3.7 4.0 -0.2 31
Citrus,"3,385,083","3,528,236 3,889,873","3,829,030",35,,4.2 10.2 -1.6 44
Clay,"4,721,246","4,918,863 5,044,563","4,909,445",30,,4.2 2.6 -2.7 57
Collier,"16,698,069","17,643,609 17,915,539","17,555,943",13,,5.7 1.5 -2.0 51
Columbia,"2,027,419","2,107,949 2,160,466","2,088,576",40,,4.0 2.5 -3.3 60
DeSoto,"946,433","908,827 973,502","976,720",48,,-4.0 7.1 0.3 24
Dixie,"287,185","283,977 280,960","281,574",62,,-1.1 -1.1 0.2 25
Duval,"56,125,885","58,004,224 60,575,324","60,529,067",6,,3.3 4.4 -0.1 26
Escambia,"14,039,634","13,977,767 14,286,019","14,144,123",15,,-0.4 2.2 -1.0 39
Flagler,"2,434,183","2,481,563 2,605,838","2,656,526",37,,1.9 5.0 1.9 14
Franklin,"331,205","336,194 344,397","335,276",61,,1.5 2.4 -2.6 56
Gadsden,"1,183,589","1,172,331 1,182,620","1,209,061",45,,-1.0 0.9 2.2 12
Gilchrist,"324,645","336,277 345,971","433,369",56,,3.6 2.9 25.3 1
Glades,"280,350","287,745 354,905","371,528",59,,2.6 23.3 4.7 7
Gulf,"370,413","370,845 381,387","391,919",58,,0.1 2.8 2.8 10
Hamilton,"424,869","442,683 458,490","465,954",55,,4.2 3.6 1.6 16
Hardee,"1,042,130","954,913 964,327","1,046,593",47,,-8.4 1.0 8.5 3
Hendry,"1,194,074","1,249,834 1,299,512","1,350,357",43,,4.7 4.0 3.9 8
Hernando,"3,692,428","3,906,214 3,966,234","3,928,981",33,,5.8 1.5 -0.9 38
Highlands,"2,366,543","2,280,684 2,426,133","2,391,999",39,,-3.6 6.4 -1.4 41
Hillsborough,"78,947,958","81,571,702 85,153,512","83,550,687",4,,3.3 4.4 -1.9 49
Holmes,"327,350","320,516 372,328","366,217",60,,-2.1 16.2 -1.6 45
Indian River,"5,902,937","6,037,532 6,251,797","5,986,673",28,,2.3 3.5 -4.2 63
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Jackson,"1,230,733","1,226,396 1,248,219","1,225,756",44,,-0.4 1.8 -1.8 47
Jefferson,"277,948","266,423 274,791","280,391",63,,-4.1 3.1 2.0 13
Lafayette,"161,912","167,277 150,680","160,099",67,,3.3 -9.9 6.3 4
Lake,"8,691,209","9,011,351 9,264,579","9,373,794",23,,3.7 2.8 1.2 19
Lee,"28,267,947","29,219,725 29,723,883","29,010,141",8,,3.4 1.7 -2.4 55
Leon,"13,404,341","13,447,368 13,766,905","13,327,769",17,,0.3 2.4 -3.2 59
Levy,"916,958","912,725 906,727","900,987",49,,-0.5 -0.7 -0.6 34
Liberty,"200,207","203,246 185,745","184,750",66,,1.5 -8.6 -0.5 33
Madison,"378,516","398,626 384,413","394,406",57,,5.3 -3.6 2.6 11
Manatee,"12,836,217","13,422,725 14,154,659","14,048,289",16,,4.6 5.5 -0.8 36
Marion,"8,913,100","9,183,128 9,424,822","9,597,165",22,,3.0 2.6 1.8 15
Martin,"6,783,251","7,038,143 7,155,892","7,009,099",27,,3.8 1.7 -2.1 52
Miami-Dade,"141,911,182","147,635,005 148,725,621","140,522,662",1,,4.0 0.7 -5.5 65
Monroe,"4,403,285","4,400,490 4,648,398","4,384,775",32,,-0.1 5.6 -5.7 66
Nassau,"2,366,277","2,409,050 2,565,853","2,506,699",38,,1.8 6.5 -2.3 54
Okaloosa,"10,330,321","10,604,298 11,170,644","11,158,763",20,,2.7 5.3 -0.1 27
Okeechobee,"1,270,748","1,164,899 1,594,097","1,741,977",42,,-8.3 36.8 9.3 2
Orange,"84,883,628","87,735,065 90,788,216","83,705,113",3,,3.4 3.5 -7.8 67
Osceola,"9,238,559","9,480,358 10,151,723","9,751,770",21,,2.6 7.1 -3.9 61
Palm Beach,"73,648,041","76,147,469 77,975,264","75,792,930",5,,3.4 2.4 -2.8 58
Pasco,"11,315,216","11,738,089 12,256,921","12,330,615",19,,3.7 4.4 0.6 21
Pinellas,"44,237,143","45,452,286 46,331,979","45,673,601",7,,2.7 1.9 -1.4 42
Polk,"23,421,440","24,014,079 24,938,252","25,297,584",9,,2.5 3.8 1.4 17
Putnam,"1,949,509","1,989,467 2,013,030","2,037,383",41,,2.0 1.2 1.2 18
St. Johns,"7,943,148","8,457,444 8,889,977","8,943,146",24,,6.5 5.1 0.6 22
St. Lucie,"8,428,741","8,701,967 8,786,833","8,775,826",25,,3.2 1.0 -0.1 28
Santa Rosa,"4,035,877","4,261,652 4,403,068","4,421,093",31,,5.6 3.3 0.4 23
Sarasota,"18,268,336","19,217,046 19,617,326","19,267,728",12,,5.2 2.1 -1.8 46
Seminole,"19,026,064","19,980,261 20,751,894","20,452,076",11,,5.0 3.9 -1.4 43
Sumter,"2,868,175","3,104,927 3,735,975","3,858,944",34,,8.3 20.3 3.3 9
Suwannee,"1,203,912","1,245,090 1,168,357","1,144,990",46,,3.4 -6.2 -2.0 50
Taylor,"680,087","688,200 659,514","633,062",52,,1.2 -4.2 -4.0 62
Union,"273,061","264,913 266,577","280,227",64,,-3.0 0.6 5.1 6
Volusia,"16,125,246","16,619,701 16,867,458","16,551,140",14,,3.1 1.5 -1.9 48
Wakulla,"666,677","619,304 670,427","669,574",50,,-7.1 8.3 -0.1 29
Walton,"2,725,912","2,801,980 3,028,535","3,008,342",36,,2.8 8.1 -0.7 35
Washington,"510,122","508,906 535,744","533,506",54,,-0.2 5.3 -0.4 32
Georgia,"524,874,691","539,300,332 558,277,256","536,693,026",--,,2.7 3.5 -3.9 --
Appling,"1,437,273","1,383,965 1,388,942","1,521,770",44,,-3.7 0.4 9.6 4
Atkinson,"208,815","210,451 219,752","217,106",126,,0.8 4.4 -1.2 54
Bacon,"329,599","323,019 339,090","349,207",107,,-2.0 5.0 3.0 15
Baker,"64,302","64,412 73,676","71,567",154,,0.2 14.4 -2.9 93
Baldwin,"1,183,560","1,174,201 1,227,563","1,156,519",54,,-0.8 4.5 -5.8 139
Banks,"399,841","419,464 395,898","352,612",106,,4.9 -5.6 -10.9 153
Barrow,"1,856,979","1,969,504 2,011,714","2,024,624",37,,6.1 2.1 0.6 35
Bartow,"4,454,461","4,506,843 4,529,467","4,424,931",19,,1.2 0.5 -2.3 84
Ben Hill,"460,170","460,827 464,846","464,145",95,,0.1 0.9 -0.2 45
Berrien,"347,844","345,838 365,401","336,630",110,,-0.6 5.7 -7.9 145
Bibb,"7,498,495","7,640,986 7,565,865","7,305,106",11,,1.9 -1.0 -3.4 104
Bleckley,"217,524","212,654 218,073","213,883",128,,-2.2 2.5 -1.9 73
Brantley,"219,121","224,791 223,503","218,296",125,,2.6 -0.6 -2.3 85
Brooks,"304,231","295,490 372,427","422,365",98,,-2.9 26.0 13.4 1
Bryan,"881,089","907,522 931,778","935,816",60,,3.0 2.7 0.4 38
Bulloch,"2,142,199","2,148,559 2,230,248","2,181,129",35,,0.3 3.8 -2.2 81
Burke,"2,479,441","2,502,329 2,770,976","2,925,520",31,,0.9 10.7 5.6 9
Butts,"563,077","573,731 606,238","618,046",81,,1.9 5.7 1.9 23
Calhoun,"116,277","107,428 116,646","123,269",143,,-7.6 8.6 5.7 8
Camden,"1,815,759","1,706,146 1,681,147","1,646,245",42,,-6.0 -1.5 -2.1 77
Candler,"228,308","230,926 242,307","247,958",122,,1.1 4.9 2.3 20
Carroll,"4,035,264","4,287,421 4,379,895","4,400,168",21,,6.2 2.2 0.5 37
Catoosa,"1,303,059","1,325,094 1,369,792","1,339,864",48,,1.7 3.4 -2.2 79
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Charlton,"183,147","173,760 188,145","190,996",133,,-5.1 8.3 1.5 24
Chatham,"16,428,911","16,437,050 16,972,627","15,642,840",5,,0.0 3.3 -7.8 144
Chattahoochee,"1,518,856","1,448,459 1,461,834","1,482,800",45,,-4.6 0.9 1.4 25
Chattooga,"570,075","556,996 521,470","455,798",97,,-2.3 -6.4 -12.6 155
Cherokee,"6,823,417","6,945,639 7,328,211","7,195,518",12,,1.8 5.5 -1.8 68
Clarke,"6,896,415","7,020,361 6,953,967","6,641,583",13,,1.8 -0.9 -4.5 123
Clay,"73,804","76,373 83,827","91,665",153,,3.5 9.8 9.3 5
Clayton,"16,332,087","16,906,216 17,042,400","12,905,048",6,,3.5 0.8 -24.3 159
Clinch,"231,163","217,221 227,836","251,935",121,,-6.0 4.9 10.6 2
Cobb,"47,659,687","49,147,970 50,373,128","48,514,523",2,,3.1 2.5 -3.7 110
Coffee,"1,364,712","1,372,368 1,417,286","1,344,193",47,,0.6 3.3 -5.2 132
Colquitt,"1,267,188","1,309,815 1,332,075","1,337,602",49,,3.4 1.7 0.4 40
Columbia,"3,521,769","3,705,448 3,761,838","3,695,253",24,,5.2 1.5 -1.8 67
Cook,"320,645","338,481 340,272","341,195",109,,5.6 0.5 0.3 42
Coweta,"3,977,627","4,141,214 4,439,799","4,420,137",20,,4.1 7.2 -0.4 47
Crawford,"156,335","155,410 145,580","143,192",138,,-0.6 -6.3 -1.6 63
Crisp,"757,745","751,452 808,578","761,697",71,,-0.8 7.6 -5.8 140
Dade,"344,383","368,728 381,863","365,935",104,,7.1 3.6 -4.2 115
Dawson,"775,582","788,216 819,918","783,732",67,,1.6 4.0 -4.4 121
Decatur,"716,644","712,310 734,452","744,779",73,,-0.6 3.1 1.4 27
DeKalb,"35,904,535","37,234,455 37,502,746","36,347,742",4,,3.7 0.7 -3.1 98
Dodge,"400,074","374,436 400,451","378,259",102,,-6.4 6.9 -5.5 136
Dooly,"382,896","367,046 383,901","344,372",108,,-4.1 4.6 -10.3 150
Dougherty,"3,983,044","3,985,846 4,053,082","3,924,765",23,,0.1 1.7 -3.2 101
Douglas,"4,007,390","4,152,162 4,299,267","4,118,159",22,,3.6 3.5 -4.2 118
Early,"447,554","437,427 434,379","462,425",96,,-2.3 -0.7 6.5 6
Echols,"50,558","37,242 39,643","40,620",156,-26.3,6.4 2.5 19
Effingham,"1,719,764","1,759,227 1,737,909","1,904,352",38,,2.3 -1.2 9.6 3
Elbert,"577,096","577,992 567,768","574,295",85,,0.2 -1.8 1.1 30
Emanuel,"636,768","582,886 616,873","607,102",83,,-8.5 5.8 -1.6 61
Evans,"354,509","356,208 342,318","326,637",111,,0.5 -3.9 -4.6 126
Fannin,"640,151","672,790 686,539","647,971",79,,5.1 2.0 -5.6 137
Fayette,"4,450,291","4,665,254 4,840,047","4,690,393",17,,4.8 3.7 -3.1 99
Floyd,"3,760,011","3,720,155 3,676,108","3,488,556",26,,-1.1 -1.2 -5.1 131
Forsyth,"9,155,547","9,116,770 9,491,142","9,300,037",10,,-0.4 4.1 -2.0 75
Franklin,"884,049","914,117 858,799","773,326",70,,3.4 -6.1 -10.0 148
Fulton,"150,557,257","158,070,326 168,439,892","161,378,980",1,,5.0 6.6 -4.2 116
Gilmer,"835,315","856,032 832,482","784,987",65,,2.5 -2.8 -5.7 138
Glascock,"31,381","28,950 30,275","29,249",158,,-7.7 4.6 -3.4 103
Glynn,"3,531,868","3,618,902 3,559,558","3,398,503",27,,2.5 -1.6 -4.5 125
Gordon,"2,105,470","2,090,919 2,165,968","2,079,131",36,,-0.7 3.6 -4.0 113
Grady,"574,507","582,630 585,465","575,820",84,,1.4 0.5 -1.6 64
Greene,"633,018","681,720 684,403","650,595",78,,7.7 0.4 -4.9 129
Gwinnett,"43,777,498","44,581,618 45,850,475","44,429,717",3,,1.8 2.8 -3.1 100
Habersham,"1,341,758","1,393,852 1,381,218","1,322,340",50,,3.9 -0.9 -4.3 119
Hall,"9,351,889","9,773,913 10,114,487","9,941,138",8,,4.5 3.5 -1.7 65
Hancock,"144,568","143,603 144,556","142,844",139,,-0.7 0.7 -1.2 52
Haralson,"725,837","740,496 746,267","730,944",75,,2.0 0.8 -2.1 76
Harris,"474,706","489,151 492,674","467,952",94,,3.0 0.7 -5.0 130
Hart,"769,585","846,654 823,944","751,310",72,10.0,-2.7 -8.8 147
Heard,"1,259,030","1,074,705 1,142,905","1,127,251",55,-14.6,6.3 -1.4 58
Henry,"5,535,416","5,803,664 6,229,082","6,087,470",15,,4.8 7.3 -2.3 83
Houston,"6,078,191","6,169,178 6,383,219","6,280,378",14,,1.5 3.5 -1.6 62
Irwin,"168,307","173,238 184,395","191,233",132,,2.9 6.4 3.7 12
Jackson,"2,743,801","2,863,701 2,927,747","2,990,715",30,,4.4 2.2 2.2 22
Jasper,"256,052","246,357 260,282","258,766",120,,-3.8 5.7 -0.6 48
Jeff Davis,"342,707","345,778 380,305","373,385",103,,0.9 10.0 -1.8 69
Jefferson,"498,481","462,423 503,011","488,853",92,,-7.2 8.8 -2.8 91
Jenkins,"141,112","132,252 148,758","150,813",137,,-6.3 12.5 1.4 28
Johnson,"112,683","114,915 113,589","107,387",147,,2.0 -1.2 -5.5 135
Jones,"417,058","381,758 410,910","399,190",99,,-8.5 7.6 -2.9 92
Lamar,"374,744","363,526 377,920","391,488",100,,-3.0 4.0 3.6 14
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Lanier,"115,791","111,375 113,123","113,603",145,,-3.8 1.6 0.4 39
Laurens,"1,559,140","1,586,728 1,589,735","1,559,013",43,,1.8 0.2 -1.9 74
Lee,"605,862","599,415 653,586","671,208",77,,-1.1 9.0 2.7 16
Liberty,"3,248,976","3,280,329 3,320,174","3,276,351",28,,1.0 1.2 -1.3 57
Lincoln,"115,642","112,323 114,721","113,359",146,,-2.9 2.1 -1.2 53
Long,"162,043","163,315 159,866","155,138",136,,0.8 -2.1 -3.0 94
Lowndes,"4,364,739","4,453,864 4,566,913","4,470,317",18,,2.0 2.5 -2.1 78
Lumpkin,"720,320","719,046 780,950","775,062",69,,-0.2 8.6 -0.8 50
McDuffie,"564,685","558,823 596,053","611,029",82,,-1.0 6.7 2.5 17
McIntosh,"235,520","234,343 229,273","216,947",127,,-0.5 -2.2 -5.4 133
Macon,"460,231","425,572 400,970","358,204",105,,-7.5 -5.8 -10.7 152
Madison,"509,847","537,558 496,115","474,342",93,,5.4 -7.7 -4.4 120
Marion,"105,327","104,956 101,177","96,630",149,,-0.4 -3.6 -4.5 124
Meriwether,"553,267","540,014 529,702","519,883",88,,-2.4 -1.9 -1.9 71
Miller,"163,463","176,408 184,504","195,949",129,,7.9 4.6 6.2 7
Mitchell,"706,983","679,682 715,053","742,907",74,,-3.9 5.2 3.9 11
Monroe,"1,523,380","1,567,907 1,446,063","1,102,190",56,,2.9 -7.8 -23.8 158
Montgomery,"147,312","142,414 145,873","142,417",140,,-3.3 2.4 -2.4 86
Morgan,"691,322","727,667 810,863","784,291",66,,5.3 11.4 -3.3 102
Murray,"1,217,820","1,142,798 1,156,410","1,167,629",53,,-6.2 1.2 1.0 32
Muscogee,"9,283,140","9,300,859 9,493,232","9,360,230",9,,0.2 2.1 -1.4 59
Newton,"2,548,160","2,647,301 2,738,094","2,677,863",33,,3.9 3.4 -2.2 80
Oconee,"1,196,281","1,279,124 1,468,909","1,407,127",46,,6.9 14.8 -4.2 117
Oglethorpe,"327,555","342,760 304,455","272,941",116,,4.6 -11.2 -10.4 151
Paulding,"2,490,476","2,615,108 2,786,800","2,818,150",32,,5.0 6.6 1.1 31
Peach,"790,354","794,396 828,988","825,687",64,,0.5 4.4 -0.4 46
Pickens,"918,855","933,273 935,180","884,161",61,,1.6 0.2 -5.5 134
Pierce,"376,093","362,651 369,452","378,570",101,,-3.6 1.9 2.5 18
Pike,"289,374","278,465 308,537","310,544",114,,-3.8 10.8 0.7 34
Polk,"1,078,852","1,078,616 1,134,358","1,037,230",57,,0.0 5.2 -8.6 146
Pulaski,"282,643","280,810 275,877","264,518",118,,-0.6 -1.8 -4.1 114
Putnam,"475,511","470,259 501,792","494,219",91,,-1.1 6.7 -1.5 60
Quitman,"37,051","37,776 34,348","33,921",157,,2.0 -9.1 -1.2 55
Rabun,"482,491","471,876 513,912","514,736",89,,-2.2 8.9 0.2 43
Randolph,"157,739","156,885 160,868","162,397",135,,-0.5 2.5 1.0 33
Richmond,"10,984,419","10,981,769 11,020,630","10,721,090",7,,0.0 0.4 -2.7 90
Rockdale,"3,449,966","3,511,568 3,501,839","3,513,706",25,,1.8 -0.3 0.3 41
Schley,"97,659","103,443 103,602","100,456",148,,5.9 0.2 -3.0 95
Screven,"298,041","293,027 286,099","273,259",115,,-1.7 -2.4 -4.5 122
Seminole,"255,971","256,105 273,878","264,287",119,,0.1 6.9 -3.5 107
Spalding,"1,848,686","1,845,440 1,892,917","1,846,823",40,,-0.2 2.6 -2.4 87
Stephens,"827,273","834,604 846,678","830,995",63,,0.9 1.4 -1.9 70
Stewart,"105,371","112,974 123,197","122,188",144,,7.2 9.0 -0.8 51
Sumter,"976,433","958,932 975,824","950,445",59,,-1.8 1.8 -2.6 89
Talbot,"115,677","128,810 121,887","95,452",150,11.4,-5.4 -21.7 157
Taliaferro,"28,460","28,761 30,791","26,602",159,,1.1 7.1 -13.6 156
Tattnall,"637,133","646,532 571,927","567,829",86,,1.5 -11.5 -0.7 49
Taylor,"193,321","189,634 196,947","184,546",134,,-1.9 3.9 -6.3 143
Telfair,"300,112","288,628 262,524","246,532",124,,-3.8 -9.0 -6.1 142
Terrell,"212,161","191,802 198,468","195,020",130,,-9.6 3.5 -1.7 66
Thomas,"1,881,321","1,912,359 1,931,847","1,864,574",39,,1.6 1.0 -3.5 106
Tift,"1,631,260","1,677,764 1,727,482","1,736,477",41,,2.9 3.0 0.5 36
Toombs,"871,203","866,246 855,369","865,736",62,,-0.6 -1.3 1.2 29
Towns,"320,840","319,053 341,877","321,399",112,,-0.6 7.2 -6.0 141
Treutlen,"96,755","91,640 91,749","93,802",152,,-5.3 0.1 2.2 21
Troup,"3,153,677","3,147,398 3,268,726","3,148,141",29,,-0.2 3.9 -3.7 109
Turner,"190,296","178,864 199,373","193,233",131,,-6.0 11.5 -3.1 97
Twiggs,"233,895","251,226 253,458","247,873",123,,7.4 0.9 -2.2 82
Union,"681,844","680,187 699,329","724,744",76,,-0.2 2.8 3.6 13
Upson,"613,872","615,655 640,543","621,029",80,,0.3 4.0 -3.0 96
Walker,"1,356,260","1,341,872 1,319,659","1,294,813",51,,-1.1 -1.7 -1.9 72
Walton,"2,250,011","2,271,977 2,399,415","2,368,026",34,,1.0 5.6 -1.3 56
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Ware,"1,303,474","1,297,874 1,276,616","1,217,441",52,,-0.4 -1.6 -4.6 127
Warren,"125,961","139,004 145,322","141,782",141,10.4,4.5 -2.4 88
Washington,"555,386","543,234 559,579","537,637",87,,-2.2 3.0 -3.9 111
Wayne,"758,068","767,733 910,312","951,650",58,,1.3 18.6 4.5 10
Webster,"51,453","46,445 52,402","52,351",155,,-9.7 12.8 -0.1 44
Wheeler,"95,080","95,297 92,679","94,003",151,,0.2 -2.7 1.4 26
White,"772,850","760,753 806,939","775,210",68,,-1.6 6.1 -3.9 112
Whitfield,"5,271,919","5,270,687 5,309,240","5,122,435",16,,0.0 0.7 -3.5 108
Wilcox,"149,724","141,284 145,360","140,313",142,,-5.6 2.9 -3.5 105
Wilkes,"333,697","342,507 306,113","269,409",117,,2.6 -10.6 -12.0 154
Wilkinson,"510,066","512,090 562,317","504,743",90,,0.4 9.8 -10.2 149
Worth,"314,099","318,222 332,702","316,674",113,,1.3 4.6 -4.8 128
Hawaii,"78,941,617","79,854,746 79,175,387","70,625,173",--,,1.2 -0.9 -10.8 --
Hawaii,"7,675,148","7,735,127 7,816,495","7,175,967",3,,0.8 1.1 -8.2 1
Honolulu,"59,156,102","59,281,819 58,428,763","53,044,743",1,,0.2 -1.4 -9.2 2
Kauai,"3,457,576","3,690,943 3,711,519","3,083,667",4,,6.7 0.6 -16.9 3
Maui + Kalawao,"8,650,449","9,138,090 9,207,556","7,325,327",2,,5.6 0.8 -20.4 4
Idaho,"66,980,520","71,075,376 73,911,957","73,655,414",--,,6.1 4.0 -0.3 --
Ada,"23,216,725","25,050,639 25,857,055","25,889,086",1,,7.9 3.2 0.1 25
Adams,"112,636","109,576 110,181","114,947",42,,-2.7 0.6 4.3 6
Bannock,"2,561,371","2,558,727 2,600,103","2,566,967",6,,-0.1 1.6 -1.3 30
Bear Lake,"166,515","163,973 169,728","171,133",38,,-1.5 3.5 0.8 21
Benewah,"289,383","292,987 303,634","306,338",34,,1.2 3.6 0.9 19
Bingham,"1,114,579","1,193,044 1,295,594","1,346,722",10,,7.0 8.6 3.9 10
Blaine,"1,307,163","1,365,173 1,380,089","1,336,865",11,,4.4 1.1 -3.1 36
Boise,"156,498","200,154 198,825","157,762",39,27.9,-0.7 -20.7 44
Bonner,"1,280,992","1,356,634 1,410,850","1,420,536",9,,5.9 4.0 0.7 22
Bonneville,"4,716,387","5,044,105 5,635,262","5,458,211",4,,6.9 11.7 -3.1 37
Boundary,"318,774","322,360 344,005","344,255",31,,1.1 6.7 0.1 26
Butte,"1,025,575","1,021,505 1,123,308","1,170,733",17,,-0.4 10.0 4.2 8
Camas,"61,521","67,753 72,255","71,162",43,10.1,6.6 -1.5 31
Canyon,"5,112,571","5,573,132 5,912,054","5,997,943",2,,9.0 6.1 1.5 18
Caribou,"546,581","566,396 612,982","637,362",21,,3.6 8.2 4.0 9
Cassia,"1,484,541","1,617,211 1,569,602","1,496,343",8,,8.9 -2.9 -4.7 42
Clark,"55,177","48,831 46,172","47,315",44,-11.5,-5.4 2.5 15
Clearwater,"305,271","299,873 303,451","312,915",33,,-1.8 1.2 3.1 12
Custer,"175,623","185,251 180,857","186,369",37,,5.5 -2.4 3.0 13
Elmore,"1,184,110","1,236,707 1,228,782","1,207,991",14,,4.4 -0.6 -1.7 33
Franklin,"330,797","342,105 352,706","367,787",29,,3.4 3.1 4.3 7
Fremont (includes Yellowstone National Park),"299,698","338,804 356,712","365,716",30,13.0,5.3 2.5 14
Gem,"353,097","347,547 365,553","368,635",28,,-1.6 5.2 0.8 20
Gooding,"1,216,628","1,257,113 1,351,518","1,305,688",12,,3.3 7.5 -3.4 40
Idaho,"393,435","392,691 403,388","421,548",27,,-0.2 2.7 4.5 5
Jefferson,"647,799","732,713 811,428","838,403",19,13.1,10.7 3.3 11
Jerome,"1,166,076","1,226,559 1,274,950","1,243,797",13,,5.2 3.9 -2.4 35
